Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-01-01,TCS,EQ,2701.2,2682.3,2694.8,2635.0,2650.0,2645.6,2654.94,675880,179441771690000.0,19464,330691,0.4893
2018-01-02,TCS,EQ,2645.6,2660.0,2669.6,2620.2,2631.0,2631.2,2641.06,960145,253580001100000.0,46813,555820,0.5789
2018-01-03,TCS,EQ,2631.2,2632.0,2669.0,2631.2,2639.0,2638.65,2649.21,628560,166518561940000.0,32104,361072,0.5744
2018-01-04,TCS,EQ,2638.65,2650.0,2662.0,2640.0,2650.0,2657.1,2649.94,456541,120980723840000.02,32647,264561,0.5795
2018-01-05,TCS,EQ,2657.1,2650.0,2699.5,2650.0,2695.0,2689.2,2684.95,576853,154882128225000.0,30836,318083,0.5514
2018-01-08,TCS,EQ,2689.2,2700.0,2726.85,2681.85,2708.8,2714.4,2709.74,621110,168304644775000.0,43815,345599,0.5564
2018-01-09,TCS,EQ,2714.4,2715.0,2721.0,2676.55,2708.95,2709.0,2703.56,1074698,290551138005000.0,47403,612650,0.5700999999999999
2018-01-10,TCS,EQ,2709.0,2711.0,2816.0,2694.65,2803.0,2806.6,2763.3,1682925,465042355680000.0,70764,699460,0.4156
2018-01-11,TCS,EQ,2806.6,2810.0,2821.9,2782.2,2792.5,2790.5,2796.58,1260524,352516102850000.0,71604,578244,0.4587
2018-01-12,TCS,EQ,2790.5,2805.0,2805.0,2740.55,2769.9,2776.35,2764.28,1680157,464442266789999.94,90884,472438,0.2812
2018-01-15,TCS,EQ,2776.35,2777.15,2808.0,2735.05,2737.4,2746.1,2768.32,728607,201701465700000.0,49926,394675,0.5417000000000001
2018-01-16,TCS,EQ,2746.1,2756.0,2861.65,2750.55,2860.0,2850.85,2834.5,2133876,604846457150000.0,85776,639155,0.2995
2018-01-17,TCS,EQ,2850.85,2870.0,2925.0,2862.15,2895.0,2888.95,2900.36,2140403,620794551955000.0,94873,965845,0.4512
2018-01-18,TCS,EQ,2888.95,2897.0,2933.0,2868.05,2926.55,2918.2,2896.35,1104739,319971197410000.0,51786,568379,0.5145000000000001
2018-01-19,TCS,EQ,2918.2,2930.55,2982.0,2903.65,2974.85,2959.3,2930.77,910000,266700091310000.0,44039,436952,0.4802
2018-01-22,TCS,EQ,2959.3,2961.0,3134.7,2922.0,3090.0,3116.4,3052.16,2183555,666456598930000.0,97757,663651,0.3039
2018-01-23,TCS,EQ,3116.4,3114.95,3142.35,3090.05,3097.9,3102.0,3112.03,1619805,504087862955000.0,68887,705309,0.4354
2018-01-24,TCS,EQ,3102.0,3090.0,3259.05,3082.65,3174.95,3174.6,3189.59,2810769,896518778320000.1,111512,862385,0.3068
2018-01-25,TCS,EQ,3174.6,3175.0,3179.8,3081.0,3133.0,3121.05,3123.06,1916922,598666202705000.0,72537,925615,0.4829
2018-01-29,TCS,EQ,3121.05,3131.4,3225.0,3122.0,3199.25,3198.85,3196.14,1570530,501963854960000.06,94269,832172,0.5299
2018-01-30,TCS,EQ,3198.85,3180.0,3203.8,3143.7,3152.15,3152.85,3166.46,787379,249320268994999.97,45149,384193,0.4879
2018-01-31,TCS,EQ,3152.85,3137.0,3150.0,3098.6,3111.15,3112.35,3119.14,1521607,474610549210000.06,92438,978756,0.6432
2018-02-01,TCS,EQ,3112.35,3124.0,3190.0,3088.8,3150.0,3138.6,3146.24,1200315,377647382335000.0,66084,310672,0.2588
2018-02-02,TCS,EQ,3138.6,3120.0,3190.0,3103.45,3153.0,3153.65,3167.25,1228245,389016274610000.0,52829,586030,0.4771
2018-02-05,TCS,EQ,3153.65,3110.0,3188.0,3076.85,3110.0,3103.2,3118.75,1378871,430035620670000.0,75866,655249,0.47520000000000007
2018-02-06,TCS,EQ,3103.2,3010.0,3077.15,2985.0,3000.0,2997.25,3020.91,1328653,401374363645000.0,53630,728147,0.5479999999999999
2018-02-07,TCS,EQ,2997.25,3027.0,3031.0,2947.45,2959.0,2955.05,2975.26,1090162,324351207340000.0,55520,506385,0.4645
2018-02-08,TCS,EQ,2955.05,2979.75,3027.6,2959.0,2966.2,2974.2,3000.15,1377502,413271604670000.0,63513,601956,0.43700000000000006
2018-02-09,TCS,EQ,2974.2,2950.0,2994.0,2896.65,2978.3,2971.7,2940.4,1051229,309103741175000.0,71919,421771,0.4012
2018-02-12,TCS,EQ,2971.7,2978.3,3023.35,2955.55,2960.15,2967.3,2981.33,987281,294340823655000.0,49385,512025,0.5186
2018-02-14,TCS,EQ,2967.3,2970.0,2974.45,2892.5,2900.0,2911.8,2939.65,1423766,418536694880000.0,81932,880898,0.6187
2018-02-15,TCS,EQ,2911.8,2931.95,2943.0,2905.1,2922.0,2925.85,2925.44,1232618,360595370580000.0,42920,702569,0.5700000000000001
2018-02-16,TCS,EQ,2925.85,2923.0,2999.6,2923.0,2931.0,2933.05,2965.52,1257878,373025637825000.0,52987,425282,0.3381
2018-02-19,TCS,EQ,2933.05,2945.0,2953.3,2895.2,2923.65,2923.6,2928.1,784112,229595513094999.97,37241,332759,0.4244
2018-02-20,TCS,EQ,2923.6,2928.0,2985.05,2927.9,2943.0,2944.75,2959.27,944534,279512645060000.0,60862,401169,0.4247
2018-02-21,TCS,EQ,2944.75,2974.0,3062.6,2960.05,3042.35,3042.3,3016.25,1544614,465893757185000.06,96721,673804,0.4362
2018-02-22,TCS,EQ,3042.3,3052.0,3079.0,3022.5,3040.05,3050.2,3047.84,1731505,527734172125000.0,83526,796578,0.46
2018-02-23,TCS,EQ,3050.2,3050.0,3089.0,2992.1,3078.0,3075.8,3044.72,1681250,511893593745000.0,86645,706762,0.4204
2018-02-26,TCS,EQ,3075.8,3075.0,3089.95,3021.2,3025.6,3031.7,3044.1,681941,207589351885000.0,45004,292334,0.42869999999999997
2018-02-27,TCS,EQ,3031.7,3041.0,3078.55,3032.0,3042.0,3042.35,3054.42,858900,262344271290000.0,49207,299428,0.3486
2018-02-28,TCS,EQ,3042.35,3035.0,3063.95,3021.45,3033.4,3035.05,3040.16,1353432,411465209060000.0,80437,861558,0.6365999999999999
2018-03-01,TCS,EQ,3035.05,3049.0,3061.2,3020.0,3033.0,3037.7,3042.25,859062,261348102210000.0,77493,522085,0.6077
2018-03-05,TCS,EQ,3037.7,3049.0,3113.65,3032.95,3103.0,3105.85,3075.76,1429084,439552274695000.0,81638,785748,0.5498
2018-03-06,TCS,EQ,3105.85,3122.0,3127.0,3030.15,3041.0,3042.8,3087.33,953382,294340264260000.0,60270,469034,0.49200000000000005
2018-03-07,TCS,EQ,3042.8,3070.0,3089.0,3018.5,3028.7,3027.45,3045.28,958886,292007840660000.0,54736,437656,0.45640000000000003
2018-03-08,TCS,EQ,3027.45,3054.9,3054.9,2987.5,3001.85,3003.95,3017.6,975913,294491723345000.0,43364,655914,0.6720999999999999
2018-03-09,TCS,EQ,3003.95,3005.0,3063.2,2977.2,3035.0,3034.1,3030.68,936218,283738132325000.0,53978,310682,0.3318
2018-03-12,TCS,EQ,3034.1,3043.0,3083.9,3035.5,3046.95,3052.15,3060.88,1045670,320066904295000.0,46166,492433,0.47090000000000004
2018-03-13,TCS,EQ,3052.15,2924.9,2939.7,2872.0,2886.1,2886.8,2880.44,44033577,1.2683615555195e+16,216131,31556256,0.7166
2018-03-14,TCS,EQ,2886.8,2892.95,2923.05,2875.05,2887.85,2886.9,2899.62,1834334,531887950280000.0,75794,797351,0.4347
2018-03-15,TCS,EQ,2886.9,2895.0,2902.55,2855.6,2867.0,2869.7,2876.92,1174453,337880987950000.0,53254,440516,0.3751
2018-03-16,TCS,EQ,2869.7,2868.8,2872.0,2805.0,2828.0,2825.7,2834.32,3598741,1019997855975000.0,151066,2487922,0.6912999999999999
2018-03-19,TCS,EQ,2825.7,2829.0,2848.0,2820.0,2828.75,2831.0,2832.48,1744970,494259405245000.0,93179,1297258,0.7434000000000001
